Date,Open,High,Low,Close,Adj Close,Volume
2020-07-08,0.214592,0.215434,0.205429,0.209387,0.209387,5763903
2020-07-09,0.209380,0.214167,0.207132,0.207701,0.207701,5660108
2020-07-10,0.207666,0.209455,0.206790,0.208082,0.208082,5385160
2020-07-11,0.208088,0.208956,0.207182,0.208955,0.208955,3659771
2020-07-12,0.208984,0.216348,0.208470,0.214765,0.214765,5174450
2020-07-13,0.214765,0.215931,0.210533,0.211732,0.211732,5849411
2020-07-14,0.211732,0.215790,0.211059,0.215041,0.215041,4461227
2020-07-15,0.214996,0.235462,0.214996,0.234918,0.234918,6557684
2020-07-16,0.234904,0.238653,0.222113,0.233186,0.233186,6053664
2020-07-17,0.233536,0.261930,0.228595,0.259198,0.259198,6551219
2020-07-18,0.259029,0.270273,0.249547,0.269424,0.269424,6756847
2020-07-19,0.269441,0.347883,0.263615,0.337587,0.337587,18132037
2020-07-20,0.337619,0.383181,0.336077,0.338839,0.338839,19401972
2020-07-21,0.338111,0.353933,0.295312,0.322696,0.322696,13141609
2020-07-22,0.323213,0.413970,0.321543,0.379268,0.379268,20312949
2020-07-23,0.379268,0.412160,0.379268,0.391317,0.391317,19463032
2020-07-24,0.391317,0.393725,0.365437,0.377476,0.377476,12355428
2020-07-25,0.377784,0.390046,0.376493,0.382740,0.382740,9056653
2020-07-26,0.382885,0.419688,0.366146,0.417617,0.417617,10980250
2020-07-27,0.417617,0.438661,0.370391,0.399195,0.399195,13679410
2020-07-28,0.399398,0.400179,0.366428,0.375567,0.375567,7302373
2020-07-29,0.375434,0.391906,0.335993,0.347829,0.347829,12102047
2020-07-30,0.347919,0.363428,0.323230,0.336978,0.336978,5050482
2020-07-31,0.336978,0.337132,0.296526,0.304992,0.304992,7143087
2020-08-01,0.304992,0.313031,0.280724,0.280988,0.280988,5909431
2020-08-02,0.281256,0.325903,0.276825,0.325812,0.325812,10572956
2020-08-03,0.325812,0.353084,0.321906,0.326648,0.326648,9570839
2020-08-04,0.326949,0.341872,0.311458,0.325699,0.325699,7159743
2020-08-05,0.325767,0.349863,0.324927,0.340038,0.340038,9676514
2020-08-06,0.340038,0.360304,0.336692,0.347310,0.347310,8333846
2020-08-07,0.347623,0.349329,0.331965,0.335914,0.335914,6093306
2020-08-08,0.335961,0.402184,0.335961,0.361829,0.361829,10137315
2020-08-09,0.361639,0.441171,0.359912,0.436063,0.436063,15689633
2020-08-10,0.436063,0.603332,0.409025,0.570409,0.570409,38263512
2020-08-11,0.570162,0.582722,0.495664,0.523326,0.523326,37672665
2020-08-12,0.522741,0.576747,0.520835,0.565640,0.565640,28381043
